product_id,order_id,product_name,quantity,order_date,order_time,unit_price,total_price,bazaar_location,selling_method,product_category,product_components
1,85951,QuesaBirria,2,8/13/2025,9:27:41 AM,99.5,199,Pre-Order,Online,Main,Birria
2,85951,Iced Tea,1,8/13/2025,9:27:41 AM,40,40,Pre-Order,Online,Beverage,Iced Tea
3,85952,QuesaBirria,2,8/13/2025,9:46:54 AM,99.5,199,Pre-Order,Online,Main,Birria
4,85953,QuesaBirria,2,8/13/2025,9:57:04 AM,99.5,199,Pre-Order,Online,Main,Birria
5,85954,QuesaBirria,2,8/13/2025,9:31:48 AM,99.5,199,Pre-Order,Online,Main,Birria
6,85955,QuesaBirria,2,8/13/2025,9:33:21 AM,99.5,199,Pre-Order,Online,Main,Birria
7,85955,Iced Tea,2,8/13/2025,9:33:21 AM,40,80,Pre-Order,Online,Beverage,Iced Tea
8,85956,QuesaBirria,4,8/13/2025,9:38:12 AM,99.5,398,Pre-Order,Online,Main,Birria
9,85957,QuesaBirria,1,8/13/2025,9:40:41 AM,110,110,Pre-Order,Online,Main,Birria
10,85958,QuesaBirria,2,8/13/2025,9:43:23 AM,99.5,199,Pre-Order,Online,Main,Birria
11,85959,QuesaBirria,2,8/13/2025,9:44:08 AM,99.5,199,Pre-Order,Online,Main,Birria
12,85960,QuesaBirria,1,8/13/2025,9:44:27 AM,110,110,Pre-Order,Online,Main,Birria
13,85960,Iced Tea,1,8/13/2025,9:44:27 AM,40,40,Pre-Order,Online,Beverage,Iced Tea
14,85961,QuesaBirria,2,8/13/2025,9:47:50 AM,99.5,199,Pre-Order,Online,Main,Birria
15,85962,QuesaBirria,1,8/13/2025,9:58:06 AM,110,110,Pre-Order,Online,Main,Birria
16,85963,QuesaBirria,2,8/13/2025,10:03:25 AM,99.5,199,Pre-Order,Online,Main,Birria
17,85964,Iced Tea,1,8/13/2025,10:22:55 AM,40,40,Pre-Order,Online,Beverage,Iced Tea
18,85965,QuesaBirria,2,8/13/2025,10:32:45 AM,99.5,199,Pre-Order,Online,Main,Birria
19,85966,Iced Tea,2,8/13/2025,10:52:46 AM,40,80,Pre-Order,Online,Beverage,Iced Tea
20,85966,QuesaBirria,2,8/13/2025,10:52:46 AM,99.5,199,Pre-Order,Online,Main,Birria
21,85967,QuesaBirria,4,8/13/2025,11:10:56 AM,99.5,398,Pre-Order,Online,Main,Birria
22,85967,Iced Tea,1,8/13/2025,11:10:56 AM,40,40,Pre-Order,Online,Beverage,Iced Tea
23,85968,QuesaBirria,4,8/13/2025,11:19:43 AM,99.5,398,Pre-Order,Online,Main,Birria
24,85969,QuesaBirria,1,8/13/2025,11:31:36 AM,110,110,Pre-Order,Online,Main,Birria
25,85970,QuesaBirria,2,8/13/2025,11:41:45 AM,99.5,199,Pre-Order,Online,Main,Birria
26,85971,QuesaBirria,1,8/13/2025,11:57:44 AM,110,110,Pre-Order,Online,Main,Birria
27,85972,QuesaBirria,2,8/13/2025,11:58:03 AM,99.5,199,Pre-Order,Online,Main,Birria
28,85973,QuesaBirria,2,8/13/2025,12:04:31 PM,99.5,199,Pre-Order,Online,Main,Birria
29,85973,Iced Tea,1,8/13/2025,12:04:31 PM,40,40,Pre-Order,Online,Beverage,Iced Tea
30,85974,Iced Tea,1,8/13/2025,12:05:04 PM,40,40,Pre-Order,Online,Beverage,Iced Tea
31,85975,QuesaBirria,2,8/13/2025,12:05:45 PM,99.5,199,Pre-Order,Online,Main,Birria
32,98517,QuesaBirria,2,8/20/2025,9:35:17 AM,99.5,199,UST Incubation Rm.419,Onsite,Main,Birria
33,98517,Iced Tea,1,8/20/2025,9:35:17 AM,40,40,UST Incubation Rm.419,Onsite,Beverage,Iced Tea
34,98518,QuesaBirria,2,8/20/2025,9:36:05 AM,99.5,199,UST Incubation Rm.419,Onsite,Main,Birria
35,98519,QuesaBirria,1,8/20/2025,9:36:17 AM,110,110,UST Incubation Rm.419,Onsite,Main,Birria
36,98520,Iced Tea,1,8/20/2025,9:36:29 AM,40,40,UST Incubation Rm.419,Onsite,Beverage,Iced Tea
37,98521,QuesaBirria,1,8/20/2025,9:36:44 AM,110,110,UST Incubation Rm.419,Onsite,Main,Birria
38,98522,QuesaBirria,2,8/20/2025,9:36:57 AM,99.5,199,UST Incubation Rm.419,Onsite,Main,Birria
39,98523,QuesaBirria,1,8/20/2025,9:44:53 AM,110,110,UST Incubation Rm.419,Onsite,Main,Birria
40,98524,QuesaBirria,2,8/20/2025,9:45:14 AM,99.5,159.2,UST Incubation Rm.419,Onsite,Main,Birria
41,98525,QuesaBirria,1,8/20/2025,9:47:24 AM,110,88,UST Incubation Rm.419,Onsite,Main,Birria
42,98526,QuesaBirria,2,8/20/2025,9:53:37 AM,99.5,159.2,UST Incubation Rm.419,Onsite,Main,Birria
43,98527,QuesaBirria,2,8/20/2025,9:56:52 AM,99.5,199,UST Incubation Rm.419,Onsite,Main,Birria
44,98527,Iced Tea,1,8/20/2025,9:56:52 AM,40,40,UST Incubation Rm.419,Onsite,Beverage,Iced Tea
45,98528,Iced Tea,1,8/20/2025,10:06:32 AM,40,40,UST Incubation Rm.419,Onsite,Beverage,Iced Tea
46,98528,QuesaBirria,4,8/20/2025,10:06:32 AM,99.5,398,UST Incubation Rm.419,Onsite,Main,Birria
47,98529,QuesaBirria,1,8/20/2025,10:22:16 AM,110,110,UST Incubation Rm.419,Onsite,Main,Birria
48,98530,QuesaBirria,1,8/20/2025,10:43:31 AM,110,110,UST Incubation Rm.419,Onsite,Main,Birria
